variant,orderDate,orderTime,audience,pet_age_range,pet_size,current_brand
Culinary Harvest Turkey Herring Kibble,2026-09-05,00:30:28,meta,Under One Year,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,02:08:07,meta,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,04:21:53,audience_1,7+ Years,Medium (31lbs to 69lbs),Wellness Pet Food
Culinary Harvest Turkey Herring Kibble,2026-09-05,02:13:19,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,22:23:19,meta,1-6 Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-03,04:13:16,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,21:49:56,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,01:54:55,meta,7+ Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,23:22:54,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-04,22:12:56,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,18:28:45,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-03,01:58:50,meta,1-6 Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-01,16:57:47,meta,7+ Years,Small (up to 30lbs),Open Farm
Culinary Harvest Turkey Herring Kibble,2026-09-03,12:55:48,meta,7+ Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,16:49:43,meta,7+ Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-01,18:41:34,meta,7+ Years,Small (up to 30lbs),Taste of the Wild
Culinary Harvest Turkey Herring Kibble,2026-09-03,04:19:56,meta,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,06:37:00,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-01,16:05:15,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,00:04:17,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,09:43:42,meta,1-6 Years,Medium (31lbs to 69lbs),Merrick
Culinary Harvest Turkey Herring Kibble,2026-09-04,14:13:20,audience_1,1-6 Years,Large (70lbs and over),Nutri Source
Culinary Harvest Turkey Herring Kibble,2026-09-04,22:58:57,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-05,04:23:09,meta,Under One Year,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,18:28:21,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-03,16:51:29,meta,1-6 Years,Small (up to 30lbs),Nulo
Culinary Harvest Turkey Herring Kibble,2026-09-02,18:00:09,meta,7+ Years,Medium (31lbs to 69lbs),Taste of the Wild
Culinary Harvest Turkey Herring Kibble,2026-09-01,19:14:03,meta,7+ Years,Large (70lbs and over),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-03,00:54:23,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-01,16:01:57,meta,7+ Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,21:33:08,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,23:10:31,meta,1-6 Years,Small (up to 30lbs),Wellness Pet Food
Culinary Harvest Turkey Herring Kibble,2026-09-01,16:48:44,meta,1-6 Years,Medium (31lbs to 69lbs),Orijen
Culinary Harvest Turkey Herring Kibble,2026-09-01,14:52:48,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-01,16:53:02,meta,1-6 Years,Medium (31lbs to 69lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-02,23:08:27,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,04:03:29,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,15:00:17,meta,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-05,00:06:19,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,01:52:27,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,16:31:46,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-05,00:44:20,meta,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,10:17:36,meta,1-6 Years,Small (up to 30lbs),Open Farm
Culinary Harvest Turkey Herring Kibble,2026-09-03,11:16:28,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,16:53:10,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-01,15:25:28,meta,1-6 Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,19:19:32,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,12:37:56,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,20:30:04,meta,1-6 Years,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,14:42:17,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,14:44:25,meta,1-6 Years,Medium (31lbs to 69lbs),Nutri Source
Culinary Harvest Turkey Herring Kibble,2026-09-01,22:11:30,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,20:50:30,meta,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-05,02:46:04,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-05,01:19:13,meta,7+ Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,16:15:08,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,21:51:02,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-03,12:38:40,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,23:51:57,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,13:19:16,meta,7+ Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,06:47:57,meta,1-6 Years,Large (70lbs and over),Nulo
Culinary Harvest Turkey Herring Kibble,2026-09-02,18:40:23,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,15:49:57,meta,1-6 Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,19:45:45,meta,7+ Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-05,04:32:31,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,22:57:02,meta,1-6 Years,Large (70lbs and over),Merrick
Culinary Harvest Turkey Herring Kibble,2026-09-02,16:39:40,meta,7+ Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,03:12:02,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,19:34:53,meta,1-6 Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-05,03:25:20,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,07:00:50,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,11:42:39,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,18:27:32,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,18:21:30,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,22:32:16,meta,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,00:32:55,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-01,21:28:16,meta,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-03,03:17:00,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,22:24:54,meta,1-6 Years,Medium (31lbs to 69lbs),Wellness Pet Food
Culinary Harvest Turkey Herring Kibble,2026-09-03,03:08:21,meta,7+ Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-05,00:07:14,meta,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,07:52:59,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,21:18:40,meta,1-6 Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,11:22:28,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,16:42:23,meta,1-6 Years,Small (up to 30lbs),Stella & Chewy's
Culinary Harvest Turkey Herring Kibble,2026-09-03,18:59:06,meta,1-6 Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-02,23:21:36,meta,Under One Year,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,17:01:49,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,22:24:45,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-05,02:29:00,meta,1-6 Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,01:17:08,meta,7+ Years,Small (up to 30lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,12:17:26,meta,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,19:41:14,meta,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,15:30:08,meta,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,02:21:23,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,23:02:08,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-05,01:04:01,audience_1,1-6 Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,03:55:51,meta,7+ Years,Large (70lbs and over),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-03,00:02:52,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,05:29:41,meta,1-6 Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,17:43:14,meta,7+ Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,00:22:14,meta,1-6 Years,Medium (31lbs to 69lbs),Stella & Chewy's
Culinary Harvest Turkey Herring Kibble,2026-09-02,14:10:45,meta,7+ Years,Medium (31lbs to 69lbs),Taste of the Wild
Culinary Harvest Turkey Herring Kibble,2026-09-02,20:52:26,meta,Under One Year,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,20:49:27,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,05:34:26,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-03,17:12:13,meta,1-6 Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,06:01:26,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,16:55:00,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,02:03:38,meta,7+ Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,04:19:06,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-05,00:49:38,meta,1-6 Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-04,19:55:25,meta,1-6 Years,Large (70lbs and over),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-03,01:01:16,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-04,18:14:22,meta,1-6 Years,Medium (31lbs to 69lbs),Stella & Chewy's
Culinary Harvest Turkey Herring Kibble,2026-09-04,20:22:15,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-05,03:09:09,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-01,21:57:16,meta,1-6 Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,15:47:11,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,20:00:46,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,03:28:12,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-02,17:13:00,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,10:14:33,meta,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,21:44:16,meta,7+ Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-02,02:56:43,meta,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,19:54:44,meta,Under One Year,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,14:49:28,meta,1-6 Years,Small (up to 30lbs),Nulo
Culinary Harvest Turkey Herring Kibble,2026-09-02,14:54:13,meta,1-6 Years,Small (up to 30lbs),Open Farm
Culinary Harvest Turkey Herring Kibble,2026-09-02,02:50:55,meta,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,15:37:06,meta,7+ Years,Small (up to 30lbs),Merrick
Culinary Harvest Turkey Herring Kibble,2026-09-01,20:46:43,meta,7+ Years,Large (70lbs and over),Other
Culinary Harvest Turkey Herring Kibble,2026-09-03,22:45:35,meta,7+ Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,00:38:32,audience_1,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-04,17:32:48,meta,7+ Years,Large (70lbs and over),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,06:31:22,meta,7+ Years,Large (70lbs and over),Wellness Pet Food
Culinary Harvest Turkey Herring Kibble,2026-09-02,23:43:11,meta,7+ Years,Medium (31lbs to 69lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,01:25:27,meta,7+ Years,Large (70lbs and over),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-03,04:31:24,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,18:14:00,meta,7+ Years,Small (up to 30lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,00:28:18,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,01:05:49,meta,1-6 Years,Large (70lbs and over),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-02,23:59:14,meta,1-6 Years,Medium (31lbs to 69lbs),Blue Buffalo
Culinary Harvest Turkey Herring Kibble,2026-09-02,15:35:54,meta,1-6 Years,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-01,19:12:44,meta,7+ Years,Small (up to 30lbs),Purina
Culinary Harvest Turkey Herring Kibble,2026-09-02,01:12:50,meta,7+ Years,Small (up to 30lbs),Hill's Science Diet
Culinary Harvest Turkey Herring Kibble,2026-09-03,01:10:24,meta,Under One Year,Medium (31lbs to 69lbs),Other
Culinary Harvest Turkey Herring Kibble,2026-09-04,16:05:35,meta,7+ Years,Medium (31lbs to 69lbs),Wellness Pet Food
Culinary Harvest Turkey Herring Kibble,2026-09-03,22:16:34,meta,1-6 Years,Medium (31lbs to 69lbs),Merrick
Culinary Harvest Turkey Herring Kibble,2026-09-01,14:22:48,meta,1-6 Years,Medium (31lbs to 69lbs),Hill's Science Diet
